cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
alfalfa,2021,6,B,,,12578.04,,0.3215711907419598,0.0046049840933191505,25.625561616376636,9.91502079657103
alfalfa,2021,7,B,,,11836.0,,0.21973615241635688,0.0059933842761166495,24.576227965695217,9.570422931188329
alfalfa,2021,8,B,,,12188.498,,0.22199636903579095,0.0028811690102011995,25.53867602564971,9.637504522840342
alfalfa,2021,9,B,,,12487.74,,0.23062938530110333,0.0054668615984405,27.214289666811922,10.348455904937417
alfalfa,2021,10,B,,,12459.13,,0.23931740819784367,0.0010604647354310998,28.768127396279702,11.397505622455661
alfalfa,2021,11,B,,,13581.61,,0.28087100866539383,0.00226729921410765,29.699171256039094,12.761856445020438
alfalfa,2021,12,B,,,11086.67,,0.28421625249060345,0.008152268678215351,30.936590266283257,14.912426984240518
alfalfa,2022,1,B,,,13312.57,,0.3537491258261929,0.0672821744716048,31.97127306004451,16.892591757252685
alfalfa,2022,2,B,,,13593.18,,0.31063090461540277,0.06510014539852604,32.8914658459493,17.667667703696974
alfalfa,2022,3,B,,,13629.11,,0.3125059376584385,0.0423774813895781,33.01318304507825,17.14057441741253
alfalfa,2022,4,B,,,13578.01,,0.31500733907251505,0.00244555424990205,31.55768280174722,14.813744153904292
alfalfa,2022,5,B,,,12993.52,,0.3158302600065263,0.0022125351157609,28.782242610184774,11.549609665921906
alfalfa,2022,6,B,,,12468.05,,0.31641315201655434,0.0046049840933191505,25.625561616376636,9.91502079657103
alfalfa,2022,7,B,,,12147.99,,0.31625449971559083,0.0059933842761166495,24.576227965695217,9.570422931188329
alfalfa,2022,8,B,,,12028.71,,0.3170108432242527,0.0028811690102011995,25.53867602564971,9.637504522840342
alfalfa,2022,9,B,,,11709.28,,0.3153962925132886,0.0054668615984405,27.214289666811922,10.348455904937417
alfalfa,2022,10,B,,,12008.29,,0.31591259038547537,0.0010604647354310998,28.768127396279702,11.397505622455661
alfalfa,2022,11,B,,,11825.05,,0.31510192345909743,0.00226729921410765,29.699171256039094,12.761856445020438
alfalfa,2022,12,B,,,11262.119999999999,,0.3224286546405118,0.008152268678215351,30.936590266283257,14.912426984240518
alfalfa,2023,1,B,,,13146.360000000004,,0.3228171143951634,0.0672821744716048,31.97127306004451,16.892591757252685
alfalfa,2023,2,B,,,13514.01,,0.32607223910593525,0.06510014539852604,32.8914658459493,17.667667703696974
alfalfa,2023,3,B,,,13450.57,,0.3247718869906628,0.0423774813895781,33.01318304507825,17.14057441741253
alfalfa,2023,4,B,,,13951.369999999999,,0.3244355213860718,0.00244555424990205,31.55768280174722,14.813744153904292
alfalfa,2023,5,B,,,13991.939999999999,,0.3268911244616544,0.0022125351157609,28.782242610184774,11.549609665921906
