anio,cultivo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm_prom_ica,temp_max_c_prom_ica,temp_min_c_prom_ica
2020,Dátil,,134.25,396.67,2954.7113594040966,2.5169183452239894,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Dátil,,134.25,389.6,2902.048417132216,2.5272972279260775,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Dátil,,156.25,481.01,3078.464,2.51041142595788,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Dátil,,156.25,526.3100000000001,3368.3840000000005,2.8083866922536145,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Espinaca,34.0,37.0,196.99,5324.054054054054,0.9108472511294988,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Espinaca,43.0,46.0,232.06,5044.782608695653,0.9183142290786867,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Espinaca,31.5,24.5,167.5,6836.734693877551,1.1727582089552238,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Espinaca,40.0,48.5,318.42,6565.360824742268,1.1119527667860056,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Espárrago,,14657.349999999999,190467.029,12994.642892473743,3.3330354468856647,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Espárrago,,14267.349999999999,179526.06000000003,12582.999646044995,4.060236215845208,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Espárrago,,14284.849999999999,184063.68000000002,12885.237156847992,3.742645380120619,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Espárrago,,13302.85,170927.96000000002,12848.972964439952,4.798206161238922,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Fresa,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Fresa,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Fresa,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Fresa,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Frijol castilla,111.5,111.5,217.30899999999997,1948.9596412556052,2.6684647207432737,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Frijol castilla,512.5,501.0,987.0919999999999,1970.2435129740516,3.3302581724905074,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Frijol castilla,315.0,380.5,769.8100000000001,2023.1537450722735,3.5278951949182265,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Frijol castilla,227.0,240.0,560.3100000000001,2334.6250000000005,4.093542860202388,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Frijol de palo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Frijol de palo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Frijol de palo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Frijol de palo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Frijol loctao,60.0,80.0,172.0,2150.0,5.0249999999999995,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Frijol loctao,50.0,30.0,86.0,2866.6666666666665,5.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Frijol loctao,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Frijol loctao,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Frijol seco,227.5,227.5,377.13,1657.7142857142858,5.422543950361944,0.017523053420288478,29.24518545226556,13.02798579572429
